,tag,t,z,mass,width
1,1.00,0.00,379.56,970587.00,6912.65
2,1.00,1.00,378.11,883341.00,5703.36
3,1.00,2.00,379.27,1033108.00,6876.91
4,1.00,3.00,380.04,636485.00,4842.45
5,1.00,4.00,380.49,530697.00,4060.05
6,1.00,5.00,379.28,835272.00,5834.67
7,1.00,6.00,379.50,991248.00,6548.92
8,1.00,7.00,379.44,919779.00,6367.82
9,1.00,8.00,380.08,635376.00,4757.91
10,1.00,9.00,379.48,559525.00,4176.83
11,1.00,10.00,379.92,585456.00,4408.78
12,1.00,11.00,380.06,509730.00,3670.48
13,1.00,12.00,377.05,640273.00,4851.78
14,1.00,13.00,378.70,750914.00,5282.04
15,1.00,14.00,380.01,771358.00,5209.06
16,1.00,15.00,379.83,664912.00,4541.68
17,1.00,16.00,380.04,668741.00,4659.00
18,1.00,17.00,380.83,757169.00,5259.46
19,1.00,18.00,381.87,626810.00,4445.68
20,1.00,19.00,381.36,604741.00,4521.21
21,1.00,20.00,381.45,782246.00,5165.66
22,1.00,21.00,381.47,742661.00,5077.65
23,1.00,22.00,381.63,496186.00,3649.31
24,1.00,23.00,381.57,644181.00,4817.71
26,1.00,24.00,381.47,603593.00,4863.99
28,1.00,25.00,382.33,717220.00,5633.77
30,1.00,26.00,382.45,700388.00,5049.50
32,1.00,27.00,382.38,826144.00,5831.16
34,1.00,28.00,383.30,841977.00,5904.96
36,1.00,29.00,384.16,729675.00,5124.69
38,1.00,30.00,384.09,752961.00,5226.63
40,1.00,31.00,383.69,910683.00,5827.52
42,1.00,32.00,383.82,952380.00,5952.32
44,1.00,33.00,385.31,874102.00,5956.53
46,1.00,34.00,386.42,780128.00,5774.77
48,1.00,35.00,387.74,785051.00,5659.86
50,1.00,36.00,388.05,846392.00,5834.47
52,1.00,37.00,387.70,631359.00,4576.65
54,1.00,38.00,388.69,568674.00,4236.10
56,1.00,39.00,388.80,706421.00,4471.71
58,1.00,40.00,388.43,744481.00,5477.16
60,1.00,41.00,388.44,914799.00,6437.62
62,1.00,42.00,388.47,741930.00,5253.25
64,1.00,43.00,389.06,894320.00,6467.06
66,1.00,44.00,388.95,938811.00,6643.98
68,1.00,45.00,389.57,733125.00,5559.19
70,1.00,46.00,390.41,804410.00,5637.31
72,1.00,47.00,390.99,831651.00,5569.57
74,1.00,48.00,392.85,677589.00,4605.80
76,1.00,49.00,390.91,589730.00,4323.32
78,1.00,50.00,389.99,581382.00,4215.09
80,1.00,51.00,391.05,899130.00,5951.36
82,1.00,52.00,391.11,998729.00,6232.72
84,1.00,53.00,391.14,948070.00,6141.88
86,1.00,54.00,390.44,1041569.00,6819.41
88,1.00,55.00,391.02,769056.00,5539.05
90,1.00,56.00,391.93,627701.00,4715.86
92,1.00,57.00,392.04,618339.00,4686.32
94,1.00,58.00,393.59,472959.00,3448.91
96,1.00,59.00,393.67,418126.00,2879.08
